model,context,depth,layer,lag,cosine_sim
TinyLlama,code,late,21,13,0.6037470698356628
TinyLlama,code,late,21,14,0.6016329526901245
TinyLlama,code,late,21,15,0.5881201028823853
TinyLlama,code,late,21,16,0.5922749042510986
TinyLlama,code,late,21,17,0.5980839133262634
TinyLlama,code,late,21,18,0.6151314973831177
TinyLlama,code,late,21,19,0.6045050621032715
TinyLlama,code,late,21,20,0.593302309513092
Qwen,prose,early,0,1,0.9984827041625977
Qwen,prose,early,0,2,0.9955829381942749
Qwen,prose,early,0,3,0.9930936098098755
Qwen,prose,early,0,4,0.992420494556427
Qwen,prose,early,0,5,0.9933377504348755
Qwen,prose,early,0,6,0.9943689703941345
Qwen,prose,early,0,7,0.9942468404769897
Qwen,prose,early,0,8,0.9930607676506042
Qwen,prose,early,0,9,0.9920037984848022
Qwen,prose,early,0,10,0.9921754598617554
Qwen,prose,early,0,11,0.9933503866195679
Qwen,prose,early,0,12,0.9941983222961426
Qwen,prose,early,0,13,0.9935492277145386
Qwen,prose,early,0,14,0.9915650486946106
Qwen,prose,early,0,15,0.9897773861885071
Qwen,prose,early,0,16,0.9897493124008179
Qwen,prose,early,0,17,0.991589367389679
Qwen,prose,early,0,18,0.9938130378723145
Qwen,prose,early,0,19,0.9944550395011902
Qwen,prose,early,0,20,0.9928264021873474
Qwen,prose,middle,12,1,0.8927215337753296
Qwen,prose,middle,12,2,0.8329511880874634
Qwen,prose,middle,12,3,0.8008049726486206
Qwen,prose,middle,12,4,0.7939935922622681
Qwen,prose,middle,12,5,0.807279109954834
Qwen,prose,middle,12,6,0.8123868703842163
Qwen,prose,middle,12,7,0.7977606654167175
Qwen,prose,middle,12,8,0.771088182926178
Qwen,prose,middle,12,9,0.747732937335968
Qwen,prose,middle,12,10,0.7451674938201904
Qwen,prose,middle,12,11,0.7633005976676941
Qwen,prose,middle,12,12,0.7799385786056519
Qwen,prose,middle,12,13,0.7796416878700256
Qwen,prose,middle,12,14,0.7584748268127441
Qwen,prose,middle,12,15,0.7319628596305847
Qwen,prose,middle,12,16,0.7236518859863281
Qwen,prose,middle,12,17,0.7408838272094727
