model,method,layer,head,kl_divergence
TinyLlama,delta_int8,3,0,3.194145392626524e-09
TinyLlama,delta_int8,3,1,9.327777661383152e-09
TinyLlama,delta_int8,3,2,5.8353180065751076e-09
TinyLlama,delta_int8,3,3,6.0390448197722435e-09
TinyLlama,delta_int8,3,4,1.800799509510398e-08
TinyLlama,delta_int8,3,5,9.458744898438454e-11
TinyLlama,delta_int8,3,6,5.7989382185041904e-09
TinyLlama,delta_int8,3,7,-1.2587406672537327e-09
TinyLlama,delta_int8,3,8,2.219167072325945e-09
TinyLlama,delta_int8,3,9,-1.2201780918985605e-08
TinyLlama,delta_int8,3,10,1.2514647096395493e-09
TinyLlama,delta_int8,3,11,2.2773747332394123e-09
TinyLlama,delta_int8,3,12,1.2005330063402653e-09
TinyLlama,delta_int8,3,13,1.2674718163907528e-08
TinyLlama,delta_int8,3,14,-4.052708391100168e-09
TinyLlama,delta_int8,3,15,1.0964868124574423e-08
TinyLlama,delta_int8,3,16,1.8197169993072748e-08
TinyLlama,delta_int8,3,17,1.4406396076083183e-09
TinyLlama,delta_int8,3,18,-4.976755008101463e-09
TinyLlama,delta_int8,3,19,1.9572325982153416e-09
TinyLlama,delta_int8,3,20,6.628397386521101e-09
TinyLlama,delta_int8,3,21,5.6461431086063385e-09
TinyLlama,delta_int8,3,22,-3.2232492230832577e-09
TinyLlama,delta_int8,3,23,-2.6411726139485836e-09
TinyLlama,delta_int8,3,24,6.933987606316805e-09
TinyLlama,delta_int8,3,25,-1.047010300680995e-08
TinyLlama,delta_int8,3,26,-1.6771082300692797e-08
TinyLlama,delta_int8,3,27,-1.964508555829525e-09
TinyLlama,delta_int8,3,28,2.7575879357755184e-09
TinyLlama,delta_int8,3,29,3.8708094507455826e-09
TinyLlama,delta_int8,3,30,-9.240466170012951e-09
TinyLlama,delta_int8,3,31,-4.4674379751086235e-09
TinyLlama,delta_int8,4,0,1.7811544239521027e-08
TinyLlama,delta_int8,4,1,1.5643308870494366e-09
TinyLlama,delta_int8,4,2,5.384208634495735e-10
TinyLlama,delta_int8,4,3,1.2369127944111824e-10
TinyLlama,delta_int8,4,4,-3.768946044147015e-09
TinyLlama,delta_int8,4,5,-1.3096723705530167e-09
TinyLlama,delta_int8,4,6,-4.292814992368221e-09
TinyLlama,delta_int8,4,7,5.980837158858776e-09
TinyLlama,delta_int8,4,8,-1.6516423784196377e-09
TinyLlama,delta_int8,4,9,1.2718373909592628e-08
TinyLlama,delta_int8,4,10,9.073119144886732e-09
TinyLlama,delta_int8,4,11,5.326000973582268e-09
TinyLlama,delta_int8,4,12,6.752088665962219e-09
TinyLlama,delta_int8,4,13,-3.776222001761198e-09
TinyLlama,delta_int8,4,14,1.1648808140307665e-08
TinyLlama,delta_int8,4,15,1.6298145055770874e-09
TinyLlama,delta_int8,4,16,7.639755494892597e-10
TinyLlama,delta_int8,4,17,7.974449545145035e-09
TinyLlama,delta_int8,4,18,3.448803909122944e-09
TinyLlama,delta_int8,4,19,3.892637323588133e-09
TinyLlama,delta_int8,4,20,3.587047103792429e-09
TinyLlama,delta_int8,4,21,-1.229636836796999e-09
TinyLlama,delta_int8,4,22,-1.433363649994135e-09
TinyLlama,delta_int8,4,23,-2.1609594114124775e-09
TinyLlama,delta_int8,4,24,3.4779077395796776e-09
TinyLlama,delta_int8,4,25,1.2369127944111824e-10
TinyLlama,delta_int8,4,26,8.825736586004496e-09
TinyLlama,delta_int8,4,27,-1.0033545549958944e-08
TinyLlama,delta_int8,4,28,2.6702764444053173e-09
TinyLlama,delta_int8,4,29,-1.2660166248679161e-09
TinyLlama,delta_int8,4,30,-5.951733328402042e-09
TinyLlama,delta_int8,4,31,-1.0710209608078003e-08
TinyLlama,delta_int8,5,0,8.11269273981452e-09
TinyLlama,delta_int8,5,1,-4.71482053399086e-09
TinyLlama,delta_int8,5,2,-6.693881005048752e-09
TinyLlama,delta_int8,5,3,4.009052645415068e-09
TinyLlama,delta_int8,5,4,-5.362380761653185e-09
TinyLlama,delta_int8,5,5,-4.132743924856186e-09
TinyLlama,delta_int8,5,6,-9.313225746154785e-10
TinyLlama,delta_int8,5,7,-4.816683940589428e-09
TinyLlama,delta_int8,5,8,1.4551915228366852e-10
TinyLlama,delta_int8,5,9,9.233190212398767e-09
TinyLlama,delta_int8,5,10,-3.3760443329811096e-09
TinyLlama,delta_int8,5,11,2.1827872842550278e-09
TinyLlama,delta_int8,5,12,-2.1464074961841106e-09
TinyLlama,delta_int8,5,13,2.9176590032875538e-09
TinyLlama,delta_int8,5,14,-1.0368239600211382e-08
TinyLlama,delta_int8,5,15,-2.5684130378067493e-09
TinyLlama,delta_int8,5,16,-2.2482709027826786e-09
TinyLlama,delta_int8,5,17,-1.4762917999178171e-08
TinyLlama,delta_int8,5,18,-5.333276931196451e-09
TinyLlama,delta_int8,5,19,-3.848981577903032e-09
TinyLlama,delta_int8,5,20,-4.8603396862745285e-09
TinyLlama,delta_int8,5,21,4.220055416226387e-09
TinyLlama,delta_int8,5,22,2.321030478924513e-09
TinyLlama,delta_int8,5,23,4.525645636022091e-09
TinyLlama,delta_int8,5,24,6.657501216977835e-09
TinyLlama,delta_int8,5,25,-5.966285243630409e-09
TinyLlama,delta_int8,5,26,9.524228516966105e-09
TinyLlama,delta_int8,5,27,1.1168594937771559e-08
TinyLlama,delta_int8,5,28,9.502400644123554e-09
TinyLlama,delta_int8,5,29,-9.677023626863956e-09
TinyLlama,delta_int8,5,30,-8.585629984736443e-10
TinyLlama,delta_int8,5,31,4.816683940589428e-09
TinyLlama,delta_int8,6,0,-8.70932126417756e-09
TinyLlama,delta_int8,6,1,-2.3501343093812466e-09
TinyLlama,delta_int8,6,2,3.485183697193861e-09
TinyLlama,delta_int8,6,3,7.246853783726692e-09
TinyLlama,delta_int8,6,4,7.55971996113658e-09
TinyLlama,delta_int8,6,5,7.930793799459934e-10
TinyLlama,delta_int8,6,6,2.7066562324762344e-09
TinyLlama,delta_int8,6,7,3.739842213690281e-09
TinyLlama,delta_int8,6,8,-8.774804882705212e-09
TinyLlama,delta_int8,6,9,-1.6450940165668726e-08
TinyLlama,delta_int8,6,10,-4.69299266114831e-09
TinyLlama,delta_int8,6,11,7.275957614183426e-09
TinyLlama,delta_int8,6,12,-1.7826096154749393e-09
TinyLlama,delta_int8,6,13,5.24596543982625e-09
TinyLlama,delta_int8,6,14,-1.673470251262188e-09
TinyLlama,delta_int8,6,15,1.1641532182693481e-10
TinyLlama,delta_int8,6,16,-4.43833414465189e-10
TinyLlama,delta_int8,6,17,-1.4551915228366852e-10
TinyLlama,delta_int8,6,18,-3.994500730186701e-09
TinyLlama,delta_int8,6,19,-1.6239937394857407e-08
TinyLlama,delta_int8,6,20,1.8189894035458565e-10
TinyLlama,delta_int8,6,21,1.1059455573558807e-08
TinyLlama,delta_int8,6,22,-4.16184775531292e-09
TinyLlama,delta_int8,6,23,9.167706593871117e-10
TinyLlama,delta_int8,6,24,-4.387402441352606e-09
TinyLlama,delta_int8,6,25,1.1103111319243908e-08
TinyLlama,delta_int8,6,26,7.654307410120964e-09
TinyLlama,delta_int8,6,27,-3.4924596548080444e-09
TinyLlama,delta_int8,6,28,-2.546585164964199e-09
TinyLlama,delta_int8,6,29,4.147295840084553e-09
TinyLlama,delta_int8,6,30,3.14321368932724e-09
TinyLlama,delta_int8,6,31,-9.851646609604359e-09
TinyLlama,delta_int8,7,0,-5.6970748119056225e-09
TinyLlama,delta_int8,7,1,-1.9208528101444244e-09
TinyLlama,delta_int8,7,2,-3.4124241210520267e-09
TinyLlama,delta_int8,7,3,7.516064215451479e-09
TinyLlama,delta_int8,7,4,5.77711034566164e-09
TinyLlama,delta_int8,7,5,-1.0186340659856796e-08
TinyLlama,delta_int8,7,6,-3.2669049687683582e-09
TinyLlama,delta_int8,7,7,-4.896719474345446e-09
TinyLlama,delta_int8,7,8,5.973561201244593e-09
TinyLlama,delta_int8,7,9,-3.4633558243513107e-09
TinyLlama,delta_int8,7,10,-1.2878444977104664e-09
TinyLlama,delta_int8,7,11,-2.815795596688986e-09
TinyLlama,delta_int8,7,12,9.240466170012951e-10
TinyLlama,delta_int8,7,13,2.473825588822365e-10
TinyLlama,delta_int8,7,14,-7.3705450631678104e-09
TinyLlama,delta_int8,7,15,5.24596543982625e-09
TinyLlama,delta_int8,7,16,1.0040821507573128e-09
TinyLlama,delta_int8,7,17,4.052708391100168e-09
TinyLlama,delta_int8,7,18,4.5183696784079075e-09
TinyLlama,delta_int8,7,19,9.858922567218542e-09
TinyLlama,delta_int8,7,20,6.05359673500061e-09
TinyLlama,delta_int8,7,21,1.8844730220735073e-09
TinyLlama,delta_int8,7,22,-1.0266376193612814e-08
TinyLlama,delta_int8,7,23,-8.425558917224407e-09
TinyLlama,delta_int8,7,24,-6.832124199718237e-09
TinyLlama,delta_int8,7,25,9.997165761888027e-09
TinyLlama,delta_int8,7,26,9.233190212398767e-09
TinyLlama,delta_int8,7,27,1.2660166248679161e-09
TinyLlama,delta_int8,7,28,7.232301868498325e-09
TinyLlama,delta_int8,7,29,-9.415089152753353e-09
TinyLlama,delta_int8,7,30,-2.444721758365631e-09
TinyLlama,delta_int8,7,31,1.0935764294117689e-08
TinyLlama,delta_int8,8,0,-5.391484592109919e-09
TinyLlama,delta_int8,8,1,-3.7834979593753815e-10
TinyLlama,delta_int8,8,2,-1.5956175047904253e-08
TinyLlama,delta_int8,8,3,4.831235855817795e-09
TinyLlama,delta_int8,8,4,-1.7462298274040222e-09
TinyLlama,delta_int8,8,5,3.2887328416109085e-09
TinyLlama,delta_int8,8,6,7.60337570682168e-09
TinyLlama,delta_int8,8,7,-1.1772499419748783e-08
TinyLlama,delta_int8,8,8,7.588823791593313e-09
TinyLlama,delta_int8,8,9,1.2005330063402653e-08
TinyLlama,delta_int8,8,10,-1.2470991350710392e-08
TinyLlama,delta_int8,8,11,-5.784386303275824e-09
TinyLlama,delta_int8,8,12,2.0780134946107864e-08
TinyLlama,delta_int8,8,13,3.0704541131854057e-09
TinyLlama,delta_int8,8,14,8.796632755547762e-09
TinyLlama,delta_int8,8,15,-6.2282197177410126e-09
TinyLlama,delta_int8,8,16,8.38917912915349e-09
TinyLlama,delta_int8,8,17,-1.0360963642597198e-08
TinyLlama,delta_int8,8,18,-2.3792381398379803e-09
TinyLlama,delta_int8,8,19,-9.531504474580288e-10
TinyLlama,delta_int8,8,20,4.329194780439138e-09
TinyLlama,delta_int8,8,21,1.3751559890806675e-09
TinyLlama,delta_int8,8,22,-5.216861609369516e-09
TinyLlama,delta_int8,8,23,1.1241354513913393e-08
TinyLlama,delta_int8,8,24,1.3264070730656385e-08
TinyLlama,delta_int8,8,25,-8.796632755547762e-09
TinyLlama,delta_int8,8,26,7.83620635047555e-09
TinyLlama,delta_int8,8,27,5.624315235763788e-09
TinyLlama,delta_int8,8,28,-2.240994945168495e-09
TinyLlama,delta_int8,8,29,-9.713403414934874e-09
TinyLlama,delta_int8,8,30,-7.508788257837296e-09
TinyLlama,delta_int8,8,31,-4.780304152518511e-09
TinyLlama,delta_int8,9,0,7.174094207584858e-09
TinyLlama,delta_int8,9,1,-6.199115887284279e-09
TinyLlama,delta_int8,9,2,-2.837623469531536e-09
TinyLlama,delta_int8,9,3,7.363269105553627e-09
TinyLlama,delta_int8,9,4,1.0222720447927713e-08
TinyLlama,delta_int8,9,5,-2.684828359633684e-09
TinyLlama,delta_int8,9,6,4.030880518257618e-09
TinyLlama,delta_int8,9,7,5.020410753786564e-09
TinyLlama,delta_int8,9,8,2.510205376893282e-09
TinyLlama,delta_int8,9,9,6.744812708348036e-09
TinyLlama,delta_int8,9,10,4.612957127392292e-09
TinyLlama,delta_int8,9,11,6.613845471292734e-09
TinyLlama,delta_int8,9,12,-2.2846506908535957e-09
TinyLlama,delta_int8,9,13,8.825736586004496e-09
TinyLlama,delta_int8,9,14,1.2689270079135895e-08
TinyLlama,delta_int8,9,15,-2.0590960048139095e-09
TinyLlama,delta_int8,9,16,7.654307410120964e-09
TinyLlama,delta_int8,9,17,1.1117663234472275e-08
TinyLlama,delta_int8,9,18,-4.43833414465189e-09
TinyLlama,delta_int8,9,19,7.006747182458639e-09
TinyLlama,delta_int8,9,20,8.811184670776129e-09
TinyLlama,delta_int8,9,21,-2.015440259128809e-09
TinyLlama,delta_int8,9,22,-4.540197551250458e-09
TinyLlama,delta_int8,9,23,4.256435204297304e-09
TinyLlama,delta_int8,9,24,-4.081812221556902e-09
TinyLlama,delta_int8,9,25,1.4988472685217857e-09
TinyLlama,delta_int8,9,26,-9.74978320300579e-10
TinyLlama,delta_int8,9,27,1.2521923054009676e-08
TinyLlama,delta_int8,9,28,6.759364623576403e-09
TinyLlama,delta_int8,9,29,-7.894414011389017e-09
TinyLlama,delta_int8,9,30,-2.5756889954209328e-09
TinyLlama,delta_int8,9,31,8.971255738288164e-09
TinyLlama,delta_int8,10,0,-6.664777174592018e-09
TinyLlama,delta_int8,10,1,-7.152266334742308e-09
TinyLlama,delta_int8,10,2,1.2376403901726007e-08
TinyLlama,delta_int8,10,3,-6.039044819772243e-10
TinyLlama,delta_int8,10,4,-2.1827872842550278e-09
TinyLlama,delta_int8,10,5,-3.7834979593753815e-09
TinyLlama,delta_int8,10,6,4.7075445763766766e-09
TinyLlama,delta_int8,10,7,7.377821020781994e-09
TinyLlama,delta_int8,10,8,9.400537237524986e-09
TinyLlama,delta_int8,10,9,1.3169483281672e-09
TinyLlama,delta_int8,10,10,-2.9831426218152046e-09
TinyLlama,delta_int8,10,11,3.4924596548080444e-09
TinyLlama,delta_int8,10,12,1.1750671546906233e-08
TinyLlama,delta_int8,10,13,7.290509529411793e-09
TinyLlama,delta_int8,10,14,-4.001776687800884e-09
TinyLlama,delta_int8,10,15,1.1132215149700642e-08
TinyLlama,delta_int8,10,16,-1.2660166248679161e-09
TinyLlama,delta_int8,10,17,1.17652234621346e-08
TinyLlama,delta_int8,10,18,-1.520675141364336e-09
TinyLlama,delta_int8,10,19,4.081812221556902e-09
TinyLlama,delta_int8,10,20,-4.43833414465189e-10
TinyLlama,delta_int8,10,21,-4.285539034754038e-09
TinyLlama,delta_int8,10,22,3.550667315721512e-09
TinyLlama,delta_int8,10,23,-3.470631781965494e-09
TinyLlama,delta_int8,10,24,-5.0495145842432976e-09
TinyLlama,delta_int8,10,25,-2.7939677238464355e-09
TinyLlama,delta_int8,10,26,-1.2951204553246498e-09
TinyLlama,delta_int8,10,27,8.010829333215952e-09
TinyLlama,delta_int8,10,28,-4.009052645415068e-09
TinyLlama,delta_int8,10,29,9.764335118234158e-09
TinyLlama,delta_int8,10,30,2.240994945168495e-09
TinyLlama,delta_int8,10,31,-1.5934347175061703e-09
TinyLlama,delta_int8,11,0,-1.862645149230957e-09
